"TABLE_NAME","pk_columns"
Attendance,attendanceId
AttendanceUploadLog,attendanceUploadLogId
BankDetails,bankDetailsId
Batch,batchId
BatchVehicleCategory,batchVehicleCategoryId
CarEmi,carEmiId
Client,clientId
ClientRiderConfig,clientRiderConfigId
ClientUserId,id
Company,companyId
CompanyDocument,documentId
CompanyPayrollSummary,companyPayrollSummaryId
CompanyPerformance,companyPerformanceId
Document,documentId
DocumentTypeExpiry,documentTypeExpiryId
Helpdesk,ticketId
HrWorkflow,hrWorkflowId
IdSequences,id
LeaveRequest,leaveRequestId
LeaveRequestComment,leaveRequestCommentId
OrderList,orderListId
OrderValue,orderValueId
Partner,partnerId
PassportRequest,ticketId
Payroll,payrollId
PayrollEarnings,payrollEarningId
PayrollErrorLog,id
PayrollExpenses,payrollExpenseId
PayrollVehicleEMI,payrollVehicleEmiId
Property,propertyId
Rider,riderId
RiderOrder,riderOrderId
RiderOrderUploadLog,riderOrderUploadLogId
RiderPerformance,riderPerformanceId
RiderProperty,riderPropertyId
RiderStatus,statusId
RiderVehicleConfig,riderVehicleConfigId
Role,roleId
SalesCashDetails,salesCashDetailsId
SalesCashEntry,salesCashEntryId
SimCard,simId
Task,taskId
TaskStatus,taskStatusId
TicketType,typeId
User,userId
UserCompany,"userId,companyId"
Vehicle,vehicleId
VehicleImage,vehicleImageId
